Customer ID,Age,Gender,Location,Subscription Status,Previous Purchases,Preferred Payment Method,Frequency of Purchases
1,55,Male,Kentucky,Yes,14,Venmo,Fortnightly
2,19,Male,Maine,Yes,2,Cash,Fortnightly
3,50,Male,Massachusetts,Yes,23,Credit Card,Weekly
4,21,Male,Rhode Island,Yes,49,PayPal,Weekly
5,45,Male,Oregon,Yes,31,PayPal,Annually
6,46,Male,Wyoming,Yes,14,Venmo,Weekly
7,63,Male,Montana,Yes,49,Cash,Quarterly
8,27,Male,Louisiana,Yes,19,Credit Card,Weekly
9,26,Male,West Virginia,Yes,8,Venmo,Annually
10,57,Male,Missouri,Yes,4,Cash,Quarterly
11,53,Male,Arkansas,Yes,26,Bank Transfer,Bi-Weekly
12,30,Male,Hawaii,Yes,10,Bank Transfer,Fortnightly
13,61,Male,Delaware,Yes,37,Venmo,Fortnightly
14,65,Male,New Hampshire,Yes,31,PayPal,Weekly
15,64,Male,New York,Yes,34,Debit Card,Weekly
16,64,Male,Rhode Island,Yes,8,PayPal,Monthly
17,25,Male,Alabama,Yes,44,Debit Card,Bi-Weekly
18,53,Male,Mississippi,Yes,36,Venmo,Quarterly
19,52,Male,Montana,Yes,17,Cash,Weekly
20,66,Male,Rhode Island,Yes,46,Debit Card,Bi-Weekly
21,21,Male,Louisiana,Yes,50,Cash,Every 3 Months
22,31,Male,North Carolina,Yes,22,Debit Card,Quarterly
23,56,Male,California,Yes,32,Debit Card,Annually
24,31,Male,Oklahoma,Yes,40,Credit Card,Weekly
25,18,Male,Florida,Yes,16,Debit Card,Weekly
26,18,Male,Texas,Yes,14,PayPal,Annually
27,38,Male,Nevada,Yes,13,Credit Card,Annually
28,56,Male,Kentucky,Yes,7,Bank Transfer,Every 3 Months
29,54,Male,North Carolina,Yes,41,PayPal,Every 3 Months
30,31,Male,Wyoming,Yes,14,Credit Card,Weekly
31,57,Male,North Carolina,Yes,16,Credit Card,Monthly
32,33,Male,West Virginia,Yes,45,Venmo,Monthly
33,36,Male,Kansas,Yes,37,Venmo,Annually
34,54,Male,Colorado,Yes,45,Cash,Quarterly
35,36,Male,North Dakota,Yes,38,PayPal,Quarterly
36,54,Male,Massachusetts,Yes,48,Credit Card,Bi-Weekly
37,35,Male,Illinois,Yes,44,PayPal,Fortnightly
38,35,Male,Indiana,Yes,10,PayPal,Weekly
39,29,Male,Florida,Yes,44,Venmo,Every 3 Months
40,70,Male,Arizona,Yes,18,Credit Card,Monthly
41,69,Male,Louisiana,Yes,31,Debit Card,Quarterly
42,67,Male,Alaska,Yes,40,Venmo,Annually
43,20,Male,Tennessee,Yes,15,PayPal,Annually
44,25,Male,Ohio,Yes,19,PayPal,Fortnightly
45,39,Male,Kentucky,Yes,45,PayPal,Weekly
46,50,Male,Tennessee,Yes,25,PayPal,Annually
47,57,Male,California,Yes,45,Cash,Quarterly
48,55,Male,Montana,Yes,36,Cash,Weekly
49,42,Male,Nevada,Yes,38,Cash,Monthly
50,68,Male,New Jersey,Yes,34,Debit Card,Bi-Weekly
51,49,Male,Maryland,Yes,39,Debit Card,Bi-Weekly
52,59,Male,Vermont,Yes,7,Credit Card,Quarterly
53,42,Male,Alaska,Yes,26,Credit Card,Weekly
54,29,Male,Mississippi,Yes,35,Credit Card,Weekly
55,47,Male,New Mexico,Yes,35,Debit Card,Bi-Weekly
56,40,Male,South Carolina,Yes,49,Credit Card,Annually
57,41,Male,Mississippi,Yes,46,Credit Card,Weekly
58,21,Male,West Virginia,Yes,17,Debit Card,Fortnightly
59,69,Male,Missouri,Yes,29,Venmo,Monthly
60,63,Male,Louisiana,Yes,4,Debit Card,Weekly
61,50,Male,Idaho,Yes,17,Cash,Weekly
62,55,Male,Texas,Yes,21,Credit Card,Every 3 Months
63,30,Male,Mississippi,Yes,31,Credit Card,Fortnightly
64,33,Male,Arizona,Yes,43,Credit Card,Weekly
65,65,Male,Alabama,Yes,18,Debit Card,Fortnightly
66,65,Male,New Jersey,Yes,44,Venmo,Every 3 Months
67,31,Male,Pennsylvania,Yes,3,Venmo,Every 3 Months
68,45,Male,Connecticut,Yes,49,Debit Card,Monthly
69,57,Male,Utah,Yes,21,Cash,Every 3 Months
70,48,Male,Tennessee,Yes,5,Cash,Weekly
71,22,Male,Alabama,Yes,32,Debit Card,Every 3 Months
72,36,Male,Virginia,Yes,34,Bank Transfer,Annually
