purchase_id,item_id,Customer ID,Purchase Amount (USD),Season,Review Rating,Payment Method,Shipping Type,Discount Applied,Promo Code Used
1,149,1,53,4,3.1,3,2,Yes,Yes
2,1686,2,64,4,3.1,1,2,Yes,Yes
3,842,3,73,2,3.1,2,3,Yes,Yes
4,1050,4,90,2,3.5,5,4,Yes,Yes
5,185,5,49,2,2.7,2,3,Yes,Yes
6,1497,6,20,3,2.9,6,5,Yes,Yes
7,1191,7,85,1,3.2,4,3,Yes,Yes
8,1311,8,34,4,3.2,4,3,Yes,Yes
9,307,9,97,3,2.6,6,2,Yes,Yes
10,541,10,31,2,4.8,5,1,Yes,Yes
11,1251,11,34,1,4.1,3,6,Yes,Yes
12,1361,12,68,4,4.9,5,6,Yes,Yes
13,319,13,72,4,4.5,5,2,Yes,Yes
14,410,14,51,2,4.7,4,2,Yes,Yes
15,308,15,53,4,4.7,5,3,Yes,Yes
16,1422,16,81,4,2.8,3,6,Yes,Yes
17,1651,17,36,2,4.1,6,4,Yes,Yes
18,431,18,38,4,4.7,4,1,Yes,Yes
19,1720,19,48,3,4.6,1,3,Yes,Yes
20,970,20,90,3,3.3,6,5,Yes,Yes
21,963,21,51,4,2.8,3,2,Yes,Yes
22,966,22,62,4,4.1,3,6,Yes,Yes
23,976,23,37,3,3.2,2,6,Yes,Yes
24,1015,24,88,4,4.4,3,2,Yes,Yes
25,757,25,22,1,2.9,2,6,Yes,Yes
26,694,26,25,3,3.6,1,2,Yes,Yes
27,900,27,20,2,3.6,2,4,Yes,Yes
28,1312,28,56,3,5.0,4,4,Yes,Yes
29,533,29,94,1,4.4,4,3,Yes,Yes
30,414,30,48,1,4.1,6,6,Yes,Yes
31,864,31,31,4,4.7,1,5,Yes,Yes
32,369,32,79,4,4.7,6,6,Yes,Yes
33,768,33,67,3,4.9,1,3,Yes,Yes
34,948,34,38,3,3.3,6,6,Yes,Yes
35,1769,35,91,2,4.6,4,1,Yes,Yes
36,169,36,33,3,4.0,1,1,Yes,Yes
37,1781,37,69,4,4.6,2,3,Yes,Yes
38,838,38,45,3,2.8,4,6,Yes,Yes
39,406,39,37,4,3.7,4,1,Yes,Yes
40,1000,40,60,3,4.2,1,2,Yes,Yes
41,509,41,76,4,4.6,5,4,Yes,Yes
42,1124,42,39,2,4.5,2,5,Yes,Yes
43,313,43,100,2,4.1,1,3,Yes,Yes
44,1097,44,69,1,3.7,5,6,Yes,Yes
45,637,45,53,3,4.6,1,3,Yes,Yes
46,1591,46,21,1,2.9,6,1,Yes,Yes
47,1182,47,43,3,2.9,6,6,Yes,Yes
48,887,48,54,4,4.5,4,3,Yes,Yes
49,1198,49,55,3,2.7,4,6,Yes,Yes
50,706,50,30,2,4.6,1,4,Yes,Yes
51,182,51,28,2,3.7,2,6,Yes,Yes
52,1446,52,59,4,4.7,5,1,Yes,Yes
53,1777,53,20,3,2.6,3,3,Yes,Yes
54,1436,54,24,4,3.9,4,4,Yes,Yes
55,316,55,94,3,4.2,1,4,Yes,Yes
56,759,56,28,4,3.0,6,1,Yes,Yes
57,58,57,73,3,4.7,5,6,Yes,Yes
58,335,58,64,3,4.4,5,6,Yes,Yes
59,680,59,54,3,4.2,3,3,Yes,Yes
60,85,60,79,2,4.6,4,5,Yes,Yes
61,1679,61,37,3,4.0,3,2,Yes,Yes
62,1124,62,68,4,4.7,1,6,Yes,Yes
63,1508,63,21,2,3.8,3,3,Yes,Yes
64,1609,64,79,4,2.7,3,1,Yes,Yes
65,267,65,83,1,4.8,5,5,Yes,Yes
66,38,66,36,2,4.8,3,1,Yes,Yes
67,195,67,94,4,4.7,1,1,Yes,Yes
68,296,68,33,4,4.4,5,6,Yes,Yes
69,522,69,46,3,3.9,3,4,Yes,Yes
70,113,70,70,3,4.4,3,2,Yes,Yes
71,96,71,29,1,4.2,3,2,Yes,Yes
72,372,72,48,3,2.9,4,2,Yes,Yes
73,401,73,26,4,2.9,4,6,Yes,Yes
74,981,74,85,2,2.7,4,3,Yes,Yes
75,455,75,58,2,4.5,5,2,Yes,Yes
76,1113,76,85,3,2.7,4,3,Yes,Yes
77,638,77,43,3,4.2,1,3,Yes,Yes
78,372,78,53,3,3.3,4,4,Yes,Yes
79,1414,79,91,2,4.7,6,3,Yes,Yes
80,762,80,96,4,2.6,1,1,Yes,Yes
81,1079,81,72,3,3.3,3,6,Yes,Yes
82,1246,82,96,3,2.6,5,2,Yes,Yes
83,994,83,28,2,4.0,1,1,Yes,Yes
84,409,84,40,3,4.1,4,5,Yes,Yes
85,346,85,32,2,4.4,2,5,Yes,Yes
86,1626,86,95,4,4.5,3,4,Yes,Yes
87,669,87,41,2,3.7,6,1,Yes,Yes
88,1265,88,53,1,3.7,4,1,Yes,Yes
89,1783,89,47,1,3.5,3,3,Yes,Yes
90,792,90,83,1,3.6,1,4,Yes,Yes
91,602,91,48,3,2.9,6,2,Yes,Yes
92,1135,92,99,4,4.6,5,5,Yes,Yes
93,762,93,87,4,4.4,2,1,Yes,Yes
94,1712,94,62,1,4.5,5,5,Yes,Yes
95,1440,95,76,2,4.6,1,3,Yes,Yes
96,1465,96,100,1,3.8,5,3,Yes,Yes
97,486,97,73,2,3.6,6,2,Yes,Yes
98,1277,98,92,4,4.8,5,6,Yes,Yes
99,861,99,67,2,2.6,2,4,Yes,Yes
100,718,100,40,3,3.7,2,2,Yes,Yes
101,1633,101,98,1,2.7,5,2,Yes,Yes
102,364,102,85,2,4.6,6,2,Yes,Yes
103,1547,103,67,4,4.8,3,4,Yes,Yes
104,235,104,89,4,4.0,4,4,Yes,Yes
105,1615,105,24,2,4.4,1,1,Yes,Yes
106,25,106,96,1,3.6,1,4,Yes,Yes
107,748,107,35,3,3.7,2,5,Yes,Yes
108,1463,108,67,4,3.1,2,4,Yes,Yes
109,1544,109,79,2,3.4,1,4,Yes,Yes
110,1790,110,85,2,2.6,2,4,Yes,Yes
111,22,111,26,3,4.0,1,5,Yes,Yes
112,81,112,75,3,5.0,5,3,Yes,Yes
113,474,113,65,2,4.3,3,3,Yes,Yes
114,592,114,54,4,3.1,4,4,Yes,Yes
115,338,115,95,3,3.7,6,6,Yes,Yes
116,1409,116,94,2,3.8,2,5,Yes,Yes
117,1282,117,86,2,3.4,5,3,Yes,Yes
118,1037,118,32,3,4.6,1,2,Yes,Yes
119,1688,119,45,1,4.8,1,1,Yes,Yes
120,326,120,76,1,4.3,4,2,Yes,Yes
121,598,121,84,3,4.0,5,2,Yes,Yes
122,1340,122,72,4,4.2,2,5,Yes,Yes
123,4,123,40,2,4.8,3,1,Yes,Yes
124,1679,124,89,1,3.1,4,3,Yes,Yes
125,1703,125,86,2,3.1,5,4,Yes,Yes
126,1336,126,54,4,3.6,2,4,Yes,Yes
127,1319,127,36,2,3.9,1,6,Yes,Yes
128,1703,128,89,4,4.8,6,4,Yes,Yes
129,1116,129,32,2,4.7,6,5,Yes,Yes
130,433,130,67,3,4.2,2,1,Yes,Yes
131,1108,131,39,1,3.7,3,4,Yes,Yes
132,1388,132,29,3,3.9,5,5,Yes,Yes
133,35,133,58,1,4.7,1,1,Yes,Yes
134,1717,134,65,4,2.5,1,4,Yes,Yes
135,588,135,94,1,4.9,3,6,Yes,Yes
136,1055,136,81,1,4.1,5,2,Yes,Yes
137,187,137,86,4,3.3,3,3,Yes,Yes
138,1495,138,43,2,4.7,2,3,Yes,Yes
139,1414,139,29,4,4.4,2,6,Yes,Yes
140,335,140,95,1,3.8,4,6,Yes,Yes
141,1183,141,28,1,3.9,1,1,Yes,Yes
142,477,142,46,1,4.9,5,3,Yes,Yes
143,747,143,58,1,3.1,5,3,Yes,Yes
144,313,144,48,1,2.7,1,6,Yes,Yes
145,1276,145,43,1,3.2,3,2,Yes,Yes
146,902,146,95,1,4.5,6,5,Yes,Yes
147,1428,147,30,1,4.0,4,5,Yes,Yes
148,1274,148,64,3,3.5,1,1,Yes,Yes
149,465,149,90,1,2.6,5,6,Yes,Yes
150,984,150,76,3,3.2,6,3,Yes,Yes
151,223,151,96,1,4.9,1,5,Yes,Yes
152,1619,152,47,1,4.5,4,4,Yes,Yes
153,1212,153,85,3,4.3,5,2,Yes,Yes
154,687,154,55,4,3.2,4,5,Yes,Yes
155,393,155,98,1,3.6,4,4,Yes,Yes
156,1578,156,77,2,4.3,2,3,Yes,Yes
157,1337,157,26,1,4.0,6,5,Yes,Yes
158,642,158,68,1,3.0,4,4,Yes,Yes
159,1232,159,73,1,4.1,1,5,Yes,Yes
160,462,160,27,1,3.8,4,6,Yes,Yes
161,470,161,23,3,4.6,1,3,Yes,Yes
162,34,162,49,1,3.0,6,2,Yes,Yes
163,1642,163,74,3,3.0,3,6,Yes,Yes
164,1419,164,67,3,3.4,5,5,Yes,Yes
165,561,165,65,2,2.6,4,3,Yes,Yes
166,566,166,60,4,2.8,3,6,Yes,Yes
167,1520,167,31,1,4.0,2,6,Yes,Yes
168,466,168,27,1,4.0,6,2,Yes,Yes
169,1268,169,80,3,3.0,1,2,Yes,Yes
170,775,170,30,3,3.3,3,5,Yes,Yes
171,1196,171,25,1,2.6,6,6,Yes,Yes
172,1329,172,35,3,3.6,4,6,Yes,Yes
173,904,173,67,3,3.9,1,4,Yes,Yes
174,624,174,46,1,3.4,5,5,Yes,Yes
175,1239,175,35,4,3.5,6,2,Yes,Yes
176,310,176,86,1,2.8,4,4,Yes,Yes
177,2,177,81,2,2.7,1,4,Yes,Yes
178,666,178,42,1,3.7,4,4,Yes,Yes
179,1389,179,43,1,4.3,4,1,Yes,Yes
180,262,180,31,1,4.9,4,6,Yes,Yes
181,1024,181,81,1,3.3,2,6,Yes,Yes
182,962,182,61,3,4.7,6,4,Yes,Yes
183,505,183,96,3,2.8,6,6,Yes,Yes
184,1444,184,29,2,3.6,1,1,Yes,Yes
185,1457,185,33,2,3.0,2,2,Yes,Yes
186,1820,186,32,3,4.5,1,6,Yes,Yes
187,49,187,56,3,2.9,4,5,Yes,Yes
188,1292,188,94,2,3.3,3,6,Yes,Yes
189,691,189,53,2,3.1,3,2,Yes,Yes
190,176,190,82,1,4.4,6,4,Yes,Yes
